cnes;razao_social;nome_fantasia;logradouro;numero;bairro;CEP;codigo_municipio;latitude;londitude;referencia
50040;BENTO PACELLY DE FREITAS MEDEIROS                           ;BENTO PACELLY DE FREITAS MEDEIROS                           ;RUA ENGENHEIRO SERRAINE                 ;444;ANT BEZERRA         ;60356660;230440;-3.736.996;-38.585.563;202005
50075;CLINICA OLHAR BRASIL LTDA                                   ;CENTRO DE ESPECIALIDADES E OFTALMOLOGIA                     ;RUA EMILIO SA                           ;100;MARAPONGA           ;60712045;230440;-3.801.954;-38.571.190;202005
50091;PRIME OFTALMOLOGIA EIRELI                                   ;PRIME OFTALMOLOGIA                                          ;AVENIDA 13 DE MAIO                      ;1116;FATIMA              ;60040530;230440;-3.749.217;-38.529.124;202005
50113;TRIVIO ODONTOLOGIA LTDA                                     ;TRIVIO                                                      ;RUA DOUTOR GILBERTO STUDART             ;55;COCO                ;60192105;230440;-3.741.412;-38.487.253;202005
50148;ALINE MOREIRA GOMES                                         ;CONSULTORIO DE FISIOTERAPIA DRA ALINE GOMES                 ;RUA BARAO DO RIO BRANCO                 ;2027;JOSE BONIFACIO      ;60025062;230440;-3.735.913;-38.531.231;202005
50768;MUNICIPIO DE MERUOCA                                        ;APAE DE MERUOCA                                             ;RUA DOM EXPEDITO                        ;S/N       ;CENTRO              ;62130000;230820;-3.542;-40.455;202005
53309;CENTRO ODONTOLOGICO ROBERTA AMARAL LTDA                     ;CORA                                                        ;JERONIMO AMARAL                         ;424;CENTRO              ;61600135;230370;-37.327.297;-386.567.366;202005
53406;MUNICIPIO DE OROS                                           ;UNIDADE BASICA DE SAUDE CENTRO II                           ;AVENIDA GABRIEL BEZERRA                 ;0;CENTRO              ;63520000;230950;-6.244;-38.914;202005
53422;ANNE MAIANE FERREIRA                                        ;ANNE MAIANE FERREIRA                                        ;RUA JERONIMO AMARAL                     ;424;CENTRO              ;61600135;230370;-37.361.281;-386.570.276;202005
54712;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA                      ;SUPERFRANGOLANDIA                                           ;LESTE 3                                 ;289;DISTRITO INDUSTRIAL ;61939080;230765;-3.877;-38.626;202005
54755;ESPACO SALUD CENTRO DE ESPECIALIDADES LTDA                  ;ESPACO SALUD CENTRO DE ESPECIALIDADES LTDA                  ;4 CJ INDUSTRIAL                         ;15;INDUSTRIAL          ;61925020;230765;-3.877;-38.626;202005
55964;CLINICA MEDICA NORTETRAN LTDA                               ;NORTETRAN                                                   ;AVENIDA MONSENHOR TABOSA                ;2987;COQUEIRO            ;62508018;230640;-3.484.001;-39.566.754;202005
56561;MUNICIPIO DE MUCAMBO                                        ;UNIDADE BASICA DE SAUDE SEDE 4                              ;AVENIDA AGRONOMO JOSE ALVES             ;516;CENTRO              ;62170000;230900;-3.905.074;-407.437.426;202005
57304;RAFAEL LIMA DE MENEZES                                      ;CLINICA DR RAFAEL                                           ;AVENIDA 08 DE NOVEMBRO                  ;744;CENTRO              ;63475000;230690;-5.891;-38.622;202005
59048;CLINICA MEDICA E ODONTOLOGICA SAUDE INCLUSAO MEDICINA LTDA  ;CLINICA SIM                                                 ;CARLOS JEREISSATI                       ;100;JEREISSATI II       ;61901012;230765;-3.877;-38.626;202005
61522;CLINICA SANTAMED LTDA                                       ;CLINICA SANTAMED                                            ;AVENIDA LINEU MACHADO                   ;419;JOQUEI CLUBE        ;60520101;230440;-3.764.536;-38.574.434;202005
61913;BIOMED GASTRO CLINICA LTDA                                  ;BIOMED GASTRO                                               ;RUA CARLOS VASCONCELOS                  ;1921;ALDEOTA             ;60115171;230440;-3.738.434;-38.512.498;202005
62227;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANINDE     ;CENTRO DE ATEND EDUCACIONAL ESPECIALIZADO PINGO DE OURO     ;CELIO MARTINS                           ;696;IMACULADA CONCEICAO ;62700000;230280;-4.350.316.028.170.150;-39.313.952.922.821.000;202005
62561;J W FARIAS MELO BEZERRA DE MENEZES                          ;PROMEDIC SAUDE                                              ;RUA MONSENHOR EURICO                    ;124;CENTRO              ;62380000;230500;-41.631.748;-40.749.577;202005
63304;MEDCENTER SAUDE E IMAGEM LTDA                               ;MEDCENTER CLINICA E IMAGEM                                  ;AV DOM JOSE TUPINAMBA DA FROTA          ;2420;CENTRO              ;62010290;231290;-36.920.581;-403.582.585;202005
63320;SILVIA INARA GOMES DA SILVA                                 ;SILVIA INARA GOMES DA SILVA                                 ;RUA PREFEITO JAIME ALENCAR              ;662;NOVO CENTRO         ;63430000;230540;-64.053.527;-388.601.712;202005
64084;PREFEITURA MUNICIPAL DE SENADOR POMPEU                      ;ACADEMIA DA SAUDE EUNICE DE ARAUJO LOPES                    ;RUA ELADIO MAGALHAES                    ;0;CENTRO              ;63600000;231270;-5.587.241.714.544.160;-39.377.596.378.326.400;202005
64297;JBL SERVICO DE CLINICA MEDICA LTDA                          ;CLINICA ARES                                                ;CAPITAO VALDEMAR DE LIMA                ;55;CENTRO              ;61900025;230765;-3.877;-38.626;202005
66052;REGIS COELHO                                                ;CENTRO DE EQUOTERAPIA E EQUITACAO EQUOSOBRAL                ;RUA CONSELHEIRO JOSE JULIIO             ;617;CENTRO              ;62010820;231290;-3.674;-40.239;202005
66060;J O DOS SANTOS DUARTE CIA LTDA                              ;FARMACIA HELIO                                              ;AV DOM JOSE TUPINAMBA DA FROTA          ;1083;CENTRO              ;62030490;231290;-36.920.581;-403.582.585;202005
66079;B F COSTA                                                   ;FARMACIA INNOVAR                                            ;AVENIDA DOM JOSE TUPINAMBA DA FROTA     ;1479;CENTRO              ;62010290;231290;-36.920.581;-403.582.585;202005
67121;PRISMA SERVICOS DE SAUDE E CONSULTORIA LTDA                 ;3 PRISMAS CONSULTORIA                                       ;RUA MAESTRO JOSE PEDRO                  ;204;CENTRO              ;62010260;231290;-36.830.851;-403.443.346;202005
67245;MUNICIPIO DE ARACOIABA                                      ;LOBORATORIO DE ANALISES CLINICAS DE ARACOIABA               ;RUA GETULIO VARGAS                      ;S/N       ;CENTRO              ;62750000;230120;-4.374.225.510.904.030;-3.880.999.803.543.090;202005
67318;EMPREENDIMENTOS PAGUE MENOS S A                             ;PAGUE MENOS DIOGO GOMES                                     ;RUA CORONEL DIOGO GOMES                 ;1052;CENTRO              ;62010150;231290;-36.864.058;-403.526.225;202005
67326;C A DE SOUSA REZENDE                                        ;CLINICA DE OLHOS DR REZENDE                                 ;AVENIDA DOM JOSE TUPINAMBA DA FROTA     ;946;CENTRO              ;62010290;231290;-36.920.581;-403.582.585;202005
67334;VIVAT VACINAS E ASSISTENCIA MEDICA LTDA                     ;VIVAT VACINAS                                               ;AVENIDA MONSENHOR ALOISIO PINTO         ;300;DOM EXPEDITO        ;62050255;231290;-36.975.661;-403.483.881;202005
67342;GOMES FERNANDES PRODUTOS FARMACEUTICOS LTDA                 ;FARMACIA FERNANDES                                          ;RUA VIRIATO DE MEDEIROS                 ;1019;CENTRO              ;62011063;231290;-36.879.879;-403.520.093;202005
67350;JOSE WILTON LEITE SOBRINHO                                  ;DR WILTON LEITE CLINICA ODONTOLOGICA                        ;TRAVESSA NIVA SELMA                     ;155;CENTRO              ;63150000;230270;-70.725.983;-403.754.053;202005
67504;MS ATIVIDADES DE MEDICINA ORAL E ESTETICA FACIAL LTDA       ;ORAL MEDC                                                   ;V CJ JEREISSATI II                      ;852;JEREISSATI II       ;61901100;230765;-3.877;-38.626;202005
67644;LARVA LABORATORIO REGIONAL NORTE EIRELI                     ;LARVA LABORATORIO                                           ;MAJOR BARRETO                           ;1433;CENTRO              ;62600000;230630;-36.860.071.809.790.600;-3.958.378.851.413.720;202005
70696;MUNICIPIO DE MILAGRES                                       ;POLICLINICA MUNICIPAL DR PLINIO MATOS CAVALCANTE            ;AVENIDA PEDRO LEITE DA CUNHA            ;S/N       ;EUCALIPTOS          ;63250000;230830;-73.136.741;-389.491.039;202005
70793;OSMAR JOAQUIM SOUSA FILHO                                   ;CLINICA DR OSMAR JOAQUIM                                    ;RUA DOMINGOS PAULINO                    ;1437;CENTRO              ;62680000;231020;-3.412.309.704.487.390;-3.902.872.681.617.730;202005
71145;CENTRO DE ENDOSCOPIA LEONANDO DA VINCI LTDA                 ;CENTRO DE ENDOSCOPIA LEONANDO DA VINCI                      ;RUA ROCHA LIMA                          ;1563;ALDEOTA             ;60135285;230440;-3.740.055;-38.510.027;202005
71161;MARCIA CHAGAS DO NASCIMENTO                                 ;MARCIA CHAGAS DO NASCIMENTO                                 ;AVENIDA HUMBERTO MONTE                  ;2929;PICI                ;60440593;230440;-3.737.374;-38.569.605;202005
72079;MUNICIPIO DE JUAZEIRO DO NORTE SECRETARIA DE SAUDE          ;UNIDADE BASICA DE SAUDE PEDRO ANDERSON GOMES PAIVA          ;RUA PROJETADA 11                        ;S/N       ;BETOLANDIA          ;63010970;230730;-7.213;-39.315;202005
72095;MUNICIPIO DE JUAZEIRO DO NORTE SECRETARIA DE SAUDE          ;UNIDADE BASICA DE SAUDE BETOLANDIA II                       ;RUA FAUSTO GUIMARAES                    ;S/N       ;BETOLANDIA          ;63010970;230730;-7.213;-39.315;202005
72974;PREFEITURA MUNICIPAL DE NOVA RUSSAS                         ;CASA DA MULHER                                              ;TABELIAO TEMOTEO FERREIRA CHAVES        ;1486;CENTRO              ;62200000;230930;-4.701.541.075.136.580;-40.566.565.990.448;202005
73466;CAMILA GOMES BASTOS CRUZ                                    ;ODONTO IMAGENS                                              ;PEDRO GOMES DA ROCHA                    ;546;CENTRO              ;61600120;230370;-3.733;-38.656;202005
74608;CHAVES PINHEIRO CLINICA DE ESPECIALIDADES MEDICAS E ODONTO  ;CLINICA CLIMAR                                              ;VI CJ JEREISSATI I                      ;429;JEREISSATI I        ;61900670;230765;-3.877;-38.626;202005
74969;PREF M PACATUBA                                             ;CENTRO DE ATENCAO PSICOSSOCIAL CAPS II                      ;RUA URBANO PINHEIRO                     ;S/N       ;PIRIPAU             ;61801445;230970;-3.984;-38.62                        ;202005
75000;PREF M PACATUBA                                             ;CENTRO DE ATENCAO PSICOSSOCIAL IFANTO JUVENIL CAPSI         ;RUA 2                                   ;S/N       ;VILA DAS FLORES     ;61814584;230970;-39.985.505;-386.226.716;202005
77690;PREFEITURA MUNICIPAL DE ARACOIABA                           ;PONTO DE APOIO DA EQUIPE SAUDE DA FAMILIA EM AGROVILA       ;AGROVILA                                ;S/N       ;ZONA RURAL          ;62750000;230120;-4.371;-38.814;202005
78042;LABORATORIO CLEMENTINO FRAGA LTDA                           ;LABORATORIO CLEMENTINO FRAGA                                ;MARIA CONRADO DE LIMA                   ;135;CENTRO              ;62880135;230523;-4.099;-384.996;202005
79596;CENTRO CLINICO PLASFRAN LTDA                                ;CENTRO CLINICO PLASFRAN                                     ;RUA MENINO DEUS                         ;513;CENTRO              ;62010310;231290;-36.876.407;-403.465.629;202005
79618;DAVI HELDER JUNIOR EIRELI                                   ;CENDIS CENTRO DE ENDOCRINOLOGIA E DIABETES DE SOBRAL        ;AVENIDA LUCIA SABOIA                    ;823;CENTRO              ;62010830;231290;-36.903.153;-403.531.466;202005
79626;NEW ODONTO SERVICOS ODONTOLOGICOS EIRELI                    ;CLINICA NEW ODONTO SOBRAL                                   ;AVENIDA LUCIA SABOIA                    ;255;CENTRO              ;62010830;231290;-36.903.153;-403.531.466;202005
79634;E F DE BRITO BARBOSA                                        ;COIFE ODONTO                                                ;TRAVESSA DO XEREX                       ;12;CENTRO              ;62010270;231290;-3.674;-40.239;202005
84603;PREFEITURA MUNICIPAL DE QUIXADA                             ;POSTO DE SAUDE DO PUTIU ANEXO HMEB DECAMPANHA COVID 19      ;RUA NOSSA SENHORA APARECIDA             ;S/N       ;PUTIU               ;63905300;231130;-49.826.742;-390.162.857;202005
85480;V B LENZZI SERVICOS MEDICOS LTDA                            ;V B LENZZI SERVICOS MEDICOS                                 ;R CATULO DA PAIXAO CEARENSE             ;175;TRIANGULO           ;63041162;230730;-7.213;-39.315;202005
85626;ECOGENESIS SERVICOS MEDICOS DE IMAGENS LTDA EPP             ;RADIOGENESIS                                                ;RUA GONCALVES LEDO                      ;777;CENTRO              ;60110261;230440;-3.730.832;-38.515.822;202005
85634;SUPERIORE DENTISTAS ASSOCIADOS SS                           ;SUPERIORE ODONTOLOGIA                                       ;RUA CORONEL JUCA                        ;1295;ALDEOTA             ;60170288;230440;-3.743.079;-38.492.815;202005
85642;SORRISAO CLINICA ODONTOLOGICA                               ;SORRISAO                                                    ;AVENIDA GOVERNADOR LEONEL BRIZOLA       ;513;JANGURUSSU          ;60866190;230440;-3.831.862;-38.521.973;202005
85677;POSTO DE SAUDE DE SANTANA                                   ;POSTO DE SAUDE DE SANTANA                                   ;SITIO SANTANA                           ;S/N       ;ZONA RURAL          ;63430000;230540;-64.852.075.934.237.100;-3.862.071.990.966.790;202005
85707;PULSAR CARDIOLOGIA LTDA                                     ;PULSAR CARDIOLOGIA LTDA                                     ;R PROFESSORA MARIA NILDE COUTO BEM      ;220;TRIANGULO           ;63041155;230730;-7.213;-39.315;202005
86673;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;HOSPITAL LEONARDO DA VINCI                                  ;RUA ROCHA LIMA                          ;1563;ALDEOTA             ;60135285;230440;-37.401.699;-385.101.139;202005
86878;L S OLIVEIRA SOUSA EIRELI                                   ;ODONTOCOMPANY                                               ;CORONEL CORREIA                         ;2089;CENTRO              ;61600004;230370;-37.357.496;-386.603.448;202005
100358;MUNICIPIO DE SOBRAL                                         ;HOSPITAL DR FRANCISCO ALVES                                 ;RUA PAULO ARAGAO                        ;605;CENTRO              ;62011250;231290;-36.863.884;-403.448.892;202005
104477;SECRETARIA MUNICIPAL DA SAUDE                               ;HOSPITAL DE CAMPANHA COVID 19 HOSP PRESIDENTE VARGAS        ;RUA MARECHAL DEODORO                    ;1187;BENFICA             ;60020061;230440;-37.426.213;-38.536.761;202005
106097;MUNICIPIO DE SAO GONCALO DO AMARANTE                        ;UNIDADE BASICA DE SAUDE FRANCISCA SANTINA PRATA MARTINS     ;RUA FRANCISCO PROCOPIO MARTINS          ;S/N       ;DISTRITO DO PECEM   ;62674000;231240;-35.622.084.690.126.500;-3.887.280.464.172.360;202005
106518;CLINICA TERAPEUTICA ESPECIALIZADA VIVA MELHOR               ;CLINICA TERAPEUTICA ESPECIALIZADA VIVA MELHOR               ;RUA JUDITH MARTINS                      ;200;BAIXA GRANDE        ;61700000;230100;-39.224.978;-384.513.434;202005
106852;CLINICA SAO LUCAS LTDA                                      ;CLINICA SAO LUCAS                                           ;RUA LUIS GONZAGA JUNIOR                 ;348;CENTRO              ;63260000;230250;-7.488.432;-38.985.058;202005
107239;PREFEITURA MUNICIPAL DE CASCAVEL                            ;UPA IRMA SILVEIRA                                           ;LOTEAMENTO ESPACO NOBRE                 ;S/N       ;ESPACO NOBRE        ;62850000;230350;-4.116.873.170.236.020;-3.824.467.957.019.800;202005
107468;JEYSSE NAYARA BEZERRA LIMA SILVA                            ;CONS FISIOTERAPIA DRA JEYSSE LIMA                           ;RUA CEL FRANCISCO REMIGIO               ;1078;MONSENHOR OTAVIO    ;62930000;230760;-5.148.520.514.095.690;-3.809.605.836.868.280;202005
107751;PREFEITURA MUNICIPAL DE SALITRE                             ;PONTO DE APOIO BARREIROS                                    ;SITIO BARREIROS                         ;S/N       ;ZONA RURAL          ;63155000;231195;-7.285;-40.457;202005
113883;M T MELO MOREIRA SERVICOS MEDICOS                           ;TORRE FORTE SERVICOS                                        ;AV LAURINDO GOMES                       ;92;CENTRO              ;63650000;231126;-58.458.463;-407.037.364;202005
114103;SANDRA SORAIA CARVALHO CAETANO                              ;SANDRA SORAIA CARVALHO CAETANO                              ;CATULO DA PAIXAO CEARENCE               ;135;TRIANGULO           ;63010970;230730;-7.213;-39.315;202005
114227;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MAURITI 180                              ;RUA EREMITA SAMPAIO                     ;S/N       ;CENTRO              ;63210000;230810;-7.389;-38.774;202005
114294;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB AIUABA 187                               ;RUA ARMANDO ARRAES FEITOSA              ;10;CENTRO              ;63575000;230040;-6.574;-40.124;202005
114308;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB AMONTADA 189                             ;RUA JOAO JACINTO                        ;798;CAMPO               ;62540000;230075;-3.361;-39.831;202005
114324;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ARATUBA 171                              ;RODOVIA JULIO COACY PEREIRA             ;S/N       ;CENTRO              ;62762000;230140;-4.418;-39.045;202005
114332;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ICO 195                                  ;RUA SAO JOSE                            ;1245;CENTRO              ;63430000;230540;-6.401;-38.862;202005
114367;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USA ICO 199                                  ;RUA SAO JOSE                            ;1245;CENTRO              ;63430000;230540;-6.401;-38.862;202005
114375;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB IRAUCUBA 166                             ;RUA LUIS ANTONIO ARAUJO DE LIMA         ;S/N       ;CENTRO              ;62620000;230610;-3.746;-39.783;202005
114391;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB JAGUARIBARA 172                          ;AV SEBASTIAO DANTAS                     ;133;CENTRO              ;63490000;230680;-5.658;-38.62                        ;202005
114421;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB LAVRAS DA MANGABEIRA 181                 ;RUA JOAO LUDGERO SOBREIRA               ;S/N       ;VILA BANCARAIA      ;63300000;230750;-6.753;-38.972;202005
114464;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MILAGRES 162                             ;AV PEDRO LEITE DA CUNHA                 ;S/N       ;CENTRO              ;63250000;230830;-7.313;-38.946;202005
114499;JN SERVICOS MEDICOS LTDA                                    ;JN SERVICOS MEDICOS                                         ;AVENIDA SENADOR VIRGILIO TAVORA         ;2377;DIONISIO TORRES     ;60165080;230440;-3.748.808;-38.497.007;202005
114650;LABORATORIO CLEMENTINO FRAGA LTDA                           ;LABORATORIO CLEMENTINO FRAGA 13 DE MAIO                     ;AVENIDA TREZE DE MAIO                   ;1109;FATIMA              ;60040531;230440;-3.749.584;-38.529.289;202005
114723;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB QUIXELO 198                              ;RUA SAO FRANCISCO                       ;S/N       ;CENTRO              ;63515000;231135;-6.254;-39.202;202005
114731;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB HIDROLANDIA 193                          ;RUA ANTONIO RODRIGUES MARROCOS          ;551;CAIXA DAGUA         ;62270000;230520;-4.408;-40.438;202005
114812;HOSPITAL DE CAMPANHA COVID 19                               ;HOSPITAL DE CAMPANHA COVID 19                               ;RUA JOAO PAULO II                       ;96;CENTRO              ;61700000;230100;-39.045.915;-383.841.177;202005
116297;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ITATIRA 186                              ;AV NOSSA SENHORA DO CARMO               ;S/N       ;LAGOA DO MATO       ;62720000;230660;-4.529;-39.622;202005
116300;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB JARDIM 174                               ;CE 060                                  ;S/N       ;SITIO AREIAS        ;63290000;230710;-7.582;-39.298;202005
116319;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB CRATO II 170                             ;R ANTONIO PEREIRA                       ;S/N       ;ALTO DA PENHA       ;63104040;230420;-7.234;-39.409;202005
116491;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB AURORA 191                               ;AV ANTONIO RICARTE                      ;68;CENTRO              ;63360000;230170;-6.943;-38.968;202005
116505;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB IBICUITINGA 192                          ;TRAVESSA DANIEL FREIRE                  ;1760;CENRO               ;62955000;230533;-4.974;-38.639;202005
116521;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB JAGUARETAMA 182                          ;RUA FRANCISCO ANTONIO PINHEIRO          ;8;CENTRO              ;63480000;230670;-5.613;-38.767;202005
116556;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB GRANJA 190                               ;UA JOAO PESSOA                          ;S/N       ;EXPOSICAO           ;62430000;230470;-3.12                         ;-40.826;202005
116564;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB CAMOCIM 167                              ;RUA CARLOS TREVIA                       ;S/N       ;N S FATIMA          ;62400000;230260;-2.902;-40.841;202005
116580;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USA CAMOCIM 200                              ;RUA CARLOS TREVIA                       ;S/N       ;N S FATIMA          ;62400000;230260;-2.902;-40.841;202005
116599;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB SANTA QUITERIA 168                       ;AV CORONEL MANOEL ALVES                 ;S/N       ;CENTRO              ;62280000;231220;-4.332;-40.157;202005
116602;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB BARBALHA 194                             ;R MADRE ILDUARA                         ;680;ALTO DA ALEGRIA     ;63180000;230190;-7.305;-39.302;202005
116610;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MIRAIMA 188                              ;LUIS MATIAS                             ;S/N       ;CENTRO              ;62530000;230837;-3.569;-39.97                        ;202005
116629;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB TAMBORIL 196                             ;RUA FARMACEUTICO JOAO RODRIGUES         ;14;CENTRO              ;63750000;231320;-4.832;-40.321;202005
116637;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USA IPU 203                                  ;RUA RAIMUNDO PINTO                      ;S/N       ;REINO DA FRANCA     ;62250000;230580;-4.322;-40.711;202005
116645;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB IPU 185                                  ;RUA RAIMUNDO PINTO                      ;S/N       ;REINO DA FRANCA     ;62250000;230580;-4.322;-40.711;202005
116653;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MISSAO VELHA 153                         ;RUA ISAIAS ARRUDA                       ;715;BOA VISTA           ;63200000;230840;-7.25                         ;-39.143;202005
116661;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB RERIUTABA 175                            ;RUA NOSSA SENHORA DA CONCEICAO          ;76;CENTRO              ;62260000;231170;-4.142;-40.582;202005
116688;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ARARIPE 176                              ;AV VICENTE ALENCAR BARBOSA              ;530;SIPAUBA II          ;63170000;230130;-7.213;-40.046;202005
116696;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB BANABUIU 156                             ;RUA FRANCISCO CALIXTO                   ;S/N       ;CENTRO              ;63960000;230185;-5.31                         ;-38.921;202005
