Procedimento;Classificação;D.V.;Descrição;Valor
9976;06.04.38.001;1;ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA);"0,00"
10068;06.04.38.006;2;ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA);"0,00"
10290;07.01.01.033;9;ADAPTACAO ABDUTOR TIPO CAVALO PARA CADEIRA DE RODAS;"57,00"
10283;07.01.01.026;6;ADAPTACAO DE ASSENTO PARA DEFORMIDADES DE QUADRIL;"136,34"
10284;07.01.01.027;4;ADAPTACAO DE ENCOSTO PARA DEFORMIDADES DE TRONCO;"132,00"
10125;07.01.01.018;5;ADAPTACAO DE OPM AUXILIARES DE LOCOMOCAO;"0,00"
10114;07.01.04.014;0;ADAPTACAO DE OPM OFTALMOLOGICA;"0,00"
10111;07.01.02.057;3;ADAPTACAO DE OPM ORTOPEDICA;"0,00"
10255;03.07.04.014;3;ADAPTACAO DE PROTESE DENTARIA;"0,00"
10289;07.01.01.032;0;ADAPTACAO DO APOIO DE BRACOS DA CADEIRA DE RODAS;"132,00"
10285;07.01.01.028;2;ADAPTACAO DO APOIO DE PES DA CADEIRA DE RODAS;"62,50"
627;02.02.09.002;7;ADENOGRAMA;"5,79"
2449;04.04.01.001;6;ADENOIDECTOMIA;"48,42"
6136;08.01.01.001;2;ADESAO A ASSISTENCIA PRE-NATAL - INCENTIVO PHPN (COMPONENTE I);"0,00"
10139;03.01.05.011;2;ADMINISTRACAO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL);"0,00"
47;03.01.10.002;0;ADMINISTRACAO DE MEDICAMENTOS EM ATENCAO BASICA (POR PACIENTE);"0,00"
6172;03.01.10.001;2;ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.;"0,63"
20143;01.01.04.005;9;ADMINISTRACAO DE VITAMINA A;"0,00"
2232;03.06.02.001;7;AFERESE TERAPEUTICA;"180,00"
1398;03.01.10.003;9;AFERICAO DE PRESSAO ARTERIAL;"0,00"
4739;07.02.04.001;0;AGULHA P/ PUNCAO TRANSEPTAL;"324,51"
6134;08.03.01.006;0;AJUDA DE CUSTO P / ALIMENTACAO/PERNOITE DE ACOMPANHANTE - (P/TRATAMENTO CNRAC);"24,75"
5038;08.03.01.002;8;AJUDA DE CUSTO P/ ALIMENTACAO DE PACIENTE S/PERNOITE;"8,40"
5039;08.03.01.004;4;AJUDA DE CUSTO P/ ALIMENTACAO/PERNOITE DE ACOMPANHANTE;"24,75"
6256;08.03.01.001;0;AJUDA DE CUSTO P/ ALIMENTACAO/PERNOITE DE PACIENTE;"24,75"
6257;08.03.01.003;6;AJUDA DE CUSTO P/ ALIMENTACAO/PERNOITE DE PACIENTE - (P/TRATAMENTO CNRAC);"24,75"
6135;08.03.01.005;2;AJUDA DE CUSTO P/ALIMENTACAO DE ACOMPANHANTE S/PERNOITE;"8,40"
8526;03.03.04.001;7;AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS;"309,73"
10256;03.07.04.015;1;AJUSTE OCLUSAL;"0,00"
3939;04.09.07.001;7;ALARGAMENTO DA ENTRADA VAGINAL;"119,35"
4532;06.03.07.001;9;ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML);"55,00"
2367;04.03.05.001;4;ALCOOLIZACAO DE NERVO CRANIANO;"18,85"
2368;04.03.05.002;2;ALCOOLIZACAO DE TRIGEMIO;"18,85"
10524;04.16.04.017;9;ALCOOLIZACAO PERCUTANEA DE CARCINOMA HEPATICO;"873,45"
2902;04.06.04.001;0;ALCOOLIZACAO PERCUTANEA DE HEMANGIOMA E MALFORMACAO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO);"283,18"
10460;06.04.62.001;2;"ALFACALCIDOL 0,25 MCG (POR CAPSULA)";"0,00"
10461;06.04.62.002;0;"ALFACALCIDOL 1,0 MCG (POR CAPSULA)";"0,00"
9998;06.04.44.001;4;"ALFADORNASE 2,5 MG (POR AMPOLA)";"71,59"
10417;06.04.47.001;0;ALFAEPOETINA 1.000 UI INJETAVEL (POR FRASCO-AMPOLA);"7,13"
10421;06.04.47.005;3;ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA);"0,00"
10418;06.04.47.002;9;ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA);"0,00"
10419;06.04.47.003;7;ALFAEPOETINA 3.000 UI INJETAVEL (POR FRASCO-AMPOLA);"5,62"
10420;06.04.47.004;5;ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA);"0,00"
9983;06.04.39.003;3;ALFAINTERFERONA 2B 10.000.000 UI INJETAVEL (POR FRASCO-AMPOLA);"0,00"
9981;06.04.39.001;7;ALFAINTERFERONA 2B 3.000.000 UI INJETAVEL (POR FRASCO-AMPOLA);"0,00"
9982;06.04.39.002;5;ALFAINTERFERONA 2B 5.000.000 UI INJETAVEL (POR FRASCO-AMPOLA);"0,00"
9984;06.04.39.004;1;ALFAPEGINTERFERONA 2A 180MCG (POR SERINGA PREENCHIDA);"0,00"
9986;06.04.39.006;8;ALFAPEGINTERFERONA 2B 100MCG (POR FRASCO-AMPOLA);"0,00"
9987;06.04.39.007;6;ALFAPEGINTERFERONA 2B 120MCG (POR FRASCO-AMPOLA);"0,00"
9985;06.04.39.005;0;ALFAPEGINTERFERONA 2B 80MCG (POR FRASCO-AMPOLA);"0,00"
10514;06.04.24.002;3;ALFATALIGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA);"0,00"
10074;06.04.24.004;0;ALFAVELAGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA);"0,00"
10075;06.04.24.005;8;ALFAVELAGLICERASE 400 U INJETAVEL (POR FRASCO AMPOLA);"0,00"
10397;07.01.02.063;6;ALMOFADA DE ASSENTO PARA CADEIRA DE RODAS PARA PREVENCAO DE ULCERAS DE PRESSAO - SIMPLES;"17,38"
10396;07.01.02.062;8;ALMOFADA DE ASSENTO PARA PREVENCAO DE ULCERAS DE PRESSAO EM CELULAS DE AR;"995,00"
7504;04.08.06.001;8;ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO;"253,93"
2555;04.04.02.001;1;ALONGAMENTO DE COLUMELA;"200,76"
2531;04.04.03.001;7;ALONGAMENTO DE COLUMELA EM PACIENTE COM ANOMALIAS CRANIO E BUCOMAXILOFACIAL;"432,24"
3321;04.08.06.002;6;ALONGAMENTO E/OU TRANSPORTE DE OSSOS DA MAO E/OU DO PE;"258,26"
7505;04.08.06.003;4;ALONGAMENTO E/OU TRANSPORTE OSSEO DE OSSOS LONGOS (EXCETO DA MAO E DO PE);"809,74"
10081;06.03.05.004;2;ALTEPLASE 10MG INJETAVEL ( POR FRASCO AMPOLA);"167,00"
10082;06.03.05.005;0;ALTEPLASE 20MG INJETAVEL (POR FRASCO AMPOLA);"334,00"
10083;06.03.05.006;9;ALTEPLASE 50MG INJETAVEL (POR FRASCO AMPOLA);"835,00"
2532;04.04.03.008;4;ALVEOLOPLASTIA COM ENXERTO OSSEO EM PACIENTE COM ANOMALIA CRANIOFACIAL;"1.003,10"
9895;06.04.20.001;3;AMANTADINA 100 MG (POR COMPRIMIDO);"0,41"
10339;06.04.75.002;1;AMBRISENTANA 10MG (POR COMPRIMIDO REVESTIDO);"25,72"
10338;06.04.75.001;3;AMBRISENTANA 5MG (POR COMPRIMIDO REVESTIDO);"25,53"
2473;04.04.01.002;4;AMIGDALECTOMIA;"45,47"
2454;04.04.01.003;2;AMIGDALECTOMIA C/ ADENOIDECTOMIA;"35,53"
1159;02.01.01.001;1;AMNIOCENTESE;"2,20"
1160;02.11.04.001;0;AMNIOSCOPIA;"1,69"
2772;04.06.01.004;8;AMPLIACAO DE VIA DE SAIDA DO VENTRICULO DIREITO E/OU RAMOS PULMONARES;"11.187,16"
45840;04.06.01.128;1;AMPLIACAO DE VIA DE SAIDA DO VENTRICULO DIREITO E/OU RAMOS PULMONARES (CRIANCA E ADOLESCENTE);"15.991,52"
2780;04.06.01.005;6;AMPLIACAO DE VIA DE SAIDA DO VENTRICULO ESQUERDO;"12.849,23"
45841;04.06.01.129;0;AMPLIACAO DE VIA DE SAIDA DO VENTRICULO ESQUERDO (CRIANCA E ADOLESCENTE);"19.664,32"
7526;04.08.06.004;2;AMPUTACAO / DESARTICULACAO DE DEDO;"28,42"
3256;04.08.02.001;6;AMPUTACAO / DESARTICULACAO DE MAO E PUNHO;"193,30"
7527;04.08.05.001;2;AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES;"892,74"
3497;04.16.09.001;0;AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES EM ONCOLOGIA;"2.860,63"
7506;04.08.02.002;4;AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES;"359,46"
3163;04.16.09.002;8;AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES EM ONCOLOGIA;"2.860,63"
3598;04.08.05.002;0;AMPUTACAO / DESARTICULACAO DE PE E TARSO;"274,01"
7613;04.16.05.001;8;AMPUTACAO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA;"5.556,76"
3053;04.07.02.001;2;AMPUTACAO COMPLETA ABDOMINO-PERINEAL DO RETO;"1.403,90"
3925;04.16.06.001;3;AMPUTACAO CONICA DE COLO DE UTERO C/ COLPECTOMIA EM ONCOLOGIA;"1.808,69"
3880;04.09.05.001;6;AMPUTACAO DE PENIS;"505,01"
7592;04.16.01.001;6;AMPUTACAO DE PENIS EM ONCOLOGIA;"839,28"
3057;04.07.02.002;0;AMPUTACAO POR PROCIDENCIA DE RETO;"716,48"
10175;04.16.01.022;9;AMPUTACAO TOTAL AMPLIADA DE PENIS EM ONCOLOGIA;"1.091,07"
3969;04.17.01.002;8;ANALGESIA OBSTETRICA P/ PARTO NORMAL;"48,30"
1263;02.11.07.001;7;ANALISE ACUSTICA DA VOZ POR MEIO DE LABORATORIO DE VOZ;"4,11"
6515;02.13.02.001;7;ANALISE DE BACTERIAS PATOGENICAS EM AGUA;"0,00"
6516;02.13.02.002;5;ANALISE DE BACTERIAS PATOGENICAS EM SOLO;"0,00"
467;02.02.05.001;7;"ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA";"3,70"
6514;02.13.02.003;3;ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA;"0,00"
10318;02.02.10.006;5;ANALISE DE DNA PELA TECNICA DE SOUTHERN BLOT;"0,00"
10319;02.02.10.007;3;ANALISE DE DNA POR MLPA;"0,00"
6522;02.13.02.004;1;ANALISE DE METAIS PESADOS;"0,00"
6157;01.02.01.006;4;ANALISE DE PROJETOS BASICOS DE ARQUITETURA;"0,00"
6523;02.13.02.005;0;ANALISE DE RESIDUOS DE PESTICIDAS;"0,00"
6521;02.13.02.006;8;ANALISE FISICO-QUIMICA DE AGUA;"0,00"
3020;04.07.03.001;8;ANASTOMOSE BILEO-DIGESTIVA;"1.161,31"
7619;04.16.04.001;2;ANASTOMOSE BILEO-DIGESTIVA EM ONCOLOGIA;"1.252,60"
2762;04.06.01.006;4;ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL;"8.431,76"
45842;04.06.01.130;3;ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL (CRIANCA E ADOLESCENTE);"14.685,43"
2773;04.06.01.007;2;ANASTOMOSE CAVO-PULMONAR TOTAL;"16.557,69"
2866;04.06.02.001;9;ANASTOMOSE ESPLENO-RENAL / OUTRA DERIVACAO CENTRAL;"1.137,80"
2868;04.06.02.002;7;ANASTOMOSE LINFOVENOSA;"1.142,89"
2867;04.06.02.003;5;ANASTOMOSE PORTO-CAVA;"1.254,33"
10511;04.06.01.123;0;ANASTOMOSE SISTEMICO PULMONAR COM CEC;"3.855,37"
45862;04.06.01.150;8;ANASTOMOSE SISTEMICO PULMONAR COM CEC (CRIANCA E ADOLESCENTE);"8.426,52"
2750;04.06.01.008;0;ANASTOMOSE SISTEMICO-PULMONAR;"5.554,95"
45843;04.06.01.131;1;ANASTOMOSE SISTEMICO-PULMONAR (CRIANCA E ADOLESCENTE);"12.131,83"
2358;04.03.04.001;9;ANASTOMOSE VASCULAR EXTRA / INTRACRANIANA;"4.846,89"
4813;07.02.03.002;3;ANCORA;"197,60"
4551;07.01.01.001;0;ANDADOR FIXO / ARTICULADO EM ALUMINIO COM QUATRO PONTEIRAS.;"130,00"
4694;07.02.04.002;9;ANEL P/ ANELOPLASTIA VALVULAR;"218,12"
4162;04.17.01.004;4;ANESTESIA GERAL;"84,00"
3970;04.17.01.001;0;ANESTESIA OBSTETRICA P/ CESARIANA;"61,18"
3971;04.17.01.003;6;ANESTESIA OBSTETRICA P/CESARIANA EM GESTACAO DE ALTO RISCO;"96,60"
5013;04.17.01.005;2;ANESTESIA REGIONAL;"22,27"
2847;04.06.02.004;3;ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL;"1.622,26"
2871;04.06.02.005;1;ANEURISMECTOMIA TORACO-ABDOMINAL;"4.155,21"
7572;04.16.06.002;1;ANEXECTOMIA UNI / BILATERAL EM ONCOLOGIA;"1.545,10"
1102;02.10.01.001;0;ANGIOGRAFIA CEREBRAL (4 VASOS);"179,46"
4201;05.01.06.001;4;ANGIOGRAFIA CEREBRAL P/ DIAGNOSTICO DE MORTE ENCEFALICA (4 VASOS);"0,00"
1071;02.10.01.002;9;ANGIOGRAFIA DE ARCO AORTICO;"137,01"
1094;02.10.01.003;7;ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS;"137,01"
2889;04.06.03.005;7;ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS;"1.575,72"
2880;04.06.03.001;4;ANGIOPLASTIA CORONARIANA;"1.575,72"
2882;04.06.03.002;2;ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS;"1.575,72"
2881;04.06.03.003;0;ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE STENT;"1.575,72"
2885;04.06.03.004;9;ANGIOPLASTIA CORONARIANA PRIMARIA;"1.747,52"
2883;04.06.03.006;5;ANGIOPLASTIA EM ENXERTO CORONARIANO;"1.575,72"
2884;04.06.03.007;3;ANGIOPLASTIA EM ENXERTO CORONARIANO (C/ IMPLANTE DE STENT);"1.575,72"
2395;04.03.07.001;5;ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO;"807,81"
2899;04.06.04.002;8;"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (C/ STENT)";"1.614,75"
2901;04.06.04.004;4;"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (S/ STENT)";"1.614,75"
2893;04.06.04.006;0;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (C/ STENT NAO RECOBERTO);"1.065,36"
2894;04.06.04.007;9;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (C/ STENT RECOBERTO);"1.065,36"
2892;04.06.04.005;2;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT);"1.065,36"
2909;04.06.04.008;7;ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO / TRONCOS SUPRA-AORTICOS (SEM STENT);"1.065,36"
2910;04.06.04.009;5;ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO OU TRONCOS SUPRA-AORTICOS (C/ STENT NAO RECOBERTO);"1.065,36"
2895;04.06.04.012;5;ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS;"1.065,36"
2896;04.06.04.010;9;ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS C/ STENT NAO RECOBERTO;"1.065,36"
2897;04.06.04.011;7;ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS C/ STENT RECOBERTO;"1.065,36"
2911;04.06.04.013;3;ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOCO / TRONCOS SUPRA-AORTICOS (C/ STENT RECOBERTO);"1.065,36"
953;02.07.01.001;3;ANGIORESSONANCIA CEREBRAL;"268,75"
577;02.02.08.001;3;ANTIBIOGRAMA;"4,98"
578;02.02.08.002;1;ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA;"13,33"
579;02.02.08.003;0;ANTIBIOGRAMA P/ MICOBACTERIAS;"13,33"
10136;03.01.05.008;2;ANTIBIOTICOTERAPIA PARENTERAL;"0,00"
