CHAVE,FORMA,GRUPO,PROCEDIMENTO,SUBGRUPO
101040016,Alimentação e nutrição,Açőes de promoçăo e prevençăo em saúde,APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES,Ações coletivas/individuais em saúde
101040024,Alimentação e nutrição,Açőes de promoçăo e prevençăo em saúde,AVALIAÇÃO ANTROPOMÉTRICA,Ações coletivas/individuais em saúde
101040032,Alimentação e nutrição,Açőes de promoçăo e prevençăo em saúde,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),Ações coletivas/individuais em saúde
101040040,Alimentação e nutrição,Açőes de promoçăo e prevençăo em saúde,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS),Ações coletivas/individuais em saúde
101040059,Alimentação e nutrição,Açőes de promoçăo e prevençăo em saúde,ADMINISTRAÇÃO DE VITAMINA A,Ações coletivas/individuais em saúde
101040067,Alimentação e nutrição,Açőes de promoçăo e prevençăo em saúde,APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES,Ações coletivas/individuais em saúde
101050011,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,Ações coletivas/individuais em saúde
101050020,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,TERAPIA COMUNITÁRIA,Ações coletivas/individuais em saúde
101050038,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,DANÇA CIRCULAR/BIODANÇA,Ações coletivas/individuais em saúde
101050046,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,YOGA,Ações coletivas/individuais em saúde
101050054,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,Ações coletivas/individuais em saúde
101050062,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE ARTETERAPIA,Ações coletivas/individuais em saúde
101050070,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE MEDITAÇÃO,Ações coletivas/individuais em saúde
101050089,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE MUSICOTERAPIA,Ações coletivas/individuais em saúde
101050097,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE,Ações coletivas/individuais em saúde
101050100,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE BIODANÇA,Ações coletivas/individuais em saúde
101050119,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE BIOENERGÉTICA,Ações coletivas/individuais em saúde
101050127,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE CONSTELAÇÃO FAMILIAR,Ações coletivas/individuais em saúde
101050135,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE DANÇA CIRCULAR,Ações coletivas/individuais em saúde
101050143,Praticas integrativas/complementares,Açőes de promoçăo e prevençăo em saúde,SESSÃO DE TERMALISMO,Ações coletivas/individuais em saúde
102010013,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,APLICACAO DE MULTA,Vigilância em saúde
102010021,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,APLICACAO DE ADVERTENCIA,Vigilância em saúde
102010030,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,APLICACAO DE INTERDICAO DE PRODUTO,Vigilância em saúde
102010048,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,APLICACAO DE INTERDICAO PARCIAL / TOTAL DE ESTABELECIMENTO,Vigilância em saúde
102010056,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO,Vigilância em saúde
102010064,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA,Vigilância em saúde
102010072,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,Vigilância em saúde
102010080,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE,Vigilância em saúde
102010099,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE,Vigilância em saúde
102010102,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,COLETA DE AMOSTRA P/ ANALISE DE CONTROLE,Vigilância em saúde
102010110,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,COLETA DE AMOSTRA P/ ANALISE FISCAL,Vigilância em saúde
102010129,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE,Vigilância em saúde
102010137,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE,Vigilância em saúde
102010145,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE HOSPITAIS,Vigilância em saúde
102010153,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS,Vigilância em saúde
102010161,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADA,Vigilância em saúde
102010170,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,Vigilância em saúde
102010188,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,Vigilância em saúde
102010196,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA,Vigilância em saúde
102010200,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS,Vigilância em saúde
102010218,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE,Vigilância em saúde
102010226,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ATIVIDADE EDUCATIVA PARA A POPULAÇÃO,Vigilância em saúde
102010234,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES,Vigilância em saúde
102010242,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES,Vigilância em saúde
102010250,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE HOSPITAIS,Vigilância em saúde
102010269,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE HOSPITAIS,Vigilância em saúde
102010277,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,Vigilância em saúde
102010285,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,Vigilância em saúde
102010293,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,Vigilância em saúde
102010307,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS,Vigilância em saúde
102010315,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS,Vigilância em saúde
102010323,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS,Vigilância em saúde
102010331,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA,Vigilância em saúde
102010340,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.,Vigilância em saúde
102010358,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAM,Vigilância em saúde
102010366,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,Vigilância em saúde
102010374,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,Vigilância em saúde
102010382,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,Vigilância em saúde
102010390,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE SERVIÇOS DE HEMOTERAPIA,Vigilância em saúde
102010404,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA,Vigilância em saúde
102010412,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA,Vigilância em saúde
102010420,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,Vigilância em saúde
102010439,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,Vigilância em saúde
102010447,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,Vigilância em saúde
102010455,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO,Vigilância em saúde
102010463,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO,Vigilância em saúde
102010471,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO,Vigilância em saúde
102010480,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚ",Vigilância em saúde
102010498,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA S,Vigilância em saúde
102010501,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO",Vigilância em saúde
102010510,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETO",Vigilância em saúde
102010528,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO,Vigilância em saúde
102010536,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO,Vigilância em saúde
102010544,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS,Vigilância em saúde
102010552,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE,Vigilância em saúde
102010560,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS,Vigilância em saúde
102010579,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE,Vigilância em saúde
102010587,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO,Vigilância em saúde
102010595,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO,Vigilância em saúde
102010609,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO E,Vigilância em saúde
102010617,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA,Vigilância em saúde
102010625,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVIS,Vigilância em saúde
102010633,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA,Vigilância em saúde
102010641,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABEL,Vigilância em saúde
102010650,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABEL,Vigilância em saúde
102010668,Vigilancia sanitária,Açőes de promoçăo e prevençăo em saúde,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABEL,Vigilância em saúde
102020019,Vigilância em saúde do trabalhador,Açőes de promoçăo e prevençăo em saúde,VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES,Vigilância em saúde
102020027,Vigilância em saúde do trabalhador,Açőes de promoçăo e prevençăo em saúde,ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR,Vigilância em saúde
102020035,Vigilância em saúde do trabalhador,Açőes de promoçăo e prevençăo em saúde,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR,Vigilância em saúde
201010011,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,AMNIOCENTESE,Coleta de material
201010020,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,Coleta de material
201010038,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA CIRURGICA DE TIREOIDE,Coleta de material
201010046,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE ANUS E CANAL ANAL,Coleta de material
201010054,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE BACO POR PUNCAO / ASPIRACAO,Coleta de material
201010062,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE BEXIGA,Coleta de material
201010070,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE BOLSA ESCROTAL,Coleta de material
201010089,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE CONDUTO AUDITIVO EXTERNO,Coleta de material
201010097,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE CONJUNTIVA,Coleta de material
201010100,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL),Coleta de material
201010119,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE CORNEA,Coleta de material
201010127,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO,Coleta de material
201010135,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO),Coleta de material
201010143,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE ENDOCARDIO / MIOCARDIO,Coleta de material
201010151,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE ENDOMETRIO,Coleta de material
201010160,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA,Coleta de material
201010178,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE EPIDIDIMO,Coleta de material
201010186,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE ESCLERA,Coleta de material
201010194,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE FARINGE/LARINGE,Coleta de material
201010208,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO,Coleta de material
201010216,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE FIGADO POR PUNCAO,Coleta de material
201010224,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE GANGLIO LINFATICO,Coleta de material
201010232,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIÓPSIA DE GLÂNDULA SALIVAR,Coleta de material
201010240,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR",Coleta de material
201010259,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO),Coleta de material
201010267,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),Coleta de material
201010275,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE MEDULA OSSEA,Coleta de material
201010283,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE MUSCULO (A CEU ABERTO),Coleta de material
201010291,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE NERVO,Coleta de material
201010305,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO),Coleta de material
201010313,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO),Coleta de material
201010321,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),Coleta de material
201010330,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),Coleta de material
201010348,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIÓPSIA DE OSSO DO CRÂNIO E DA FACE,Coleta de material
201010356,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PALPEBRA,Coleta de material
201010364,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PAVILHAO AURICULAR,Coleta de material
201010372,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PELE E PARTES MOLES,Coleta de material
201010380,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PENIS,Coleta de material
201010399,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PIRAMIDE NASAL,Coleta de material
201010402,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA),Coleta de material
201010410,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PROSTATA,Coleta de material
201010429,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE PULMAO POR ASPIRACAO,Coleta de material
201010437,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE RIM POR PUNCAO,Coleta de material
201010445,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE SEIO PARANASAL,Coleta de material
201010453,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE SINÓVIA,Coleta de material
201010461,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE TESTICULO,Coleta de material
201010470,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,Coleta de material
201010488,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE URETER,Coleta de material
201010496,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA DE URETRA,Coleta de material
201010500,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA/PUNÇÃO DE VAGINA,Coleta de material
201010518,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA/PUNÇÃO DE VULVA,Coleta de material
201010526,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIÓPSIA DOS TECIDOS MOLES DA BOCA,Coleta de material
201010534,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA ESTEREOTAXICA,Coleta de material
201010542,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉ,Coleta de material
201010550,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA PRÉ-ESCALÊNICA,Coleta de material
201010569,Coleta de material por meio de punção/biópsia,Procedimentos com finalidade diagnóstica,BIOPSIA/EXERESE DE NÓDULO DE MAMA,Coleta de material
