Vigência	Município	"Qtd. Beneficiários
 A serem acompanhados"	Qtd. beneficiários acompanhados	Perc. cobertura de beneficiários acompanhados (%)	Qtd. criança a ser acompanhada	Qtd. criança acompanhada	Perc. cobertura do acomp. de crianças (%)	Qtd. criança com dados nutricionais	Perc. crianças com dados nutricionais (%)	Qtd. gestantes estimadas	Qtd. gestantes localizadas	Perc. de cobertura de gestantes localizadas (%)	Qtd. gestantes com dados nutric.	Perc. gestantes com dados nutric. (%)
2019_1	SOBRAL	34.721	30.149	86,83%	9.281	6.860	73,91%	6.749	98,38%	458	757	165,28%	589	77,81%
2019_1	URUOCA	3.577	3.056	85,43%	976	751	76,95%	751	100%	40	50	125%	27	54%
2019_1	VARJOTA	3.795	3.331	87,77%	1.271	1.007	79,23%	1.007	100%	55	135	245,45%	100	74,07%
2019_1	ACARAÚ	20.392	19.252	94,41%	5.394	4.840	89,73%	4.479	92,54%	301	523	173,75%	335	64,05%
2019_1	BELA CRUZ	8.917	8.288	92,95%	2.228	1.949	87,48%	1.948	99,95%	97	260	268,04%	250	96,15%
2019_1	CRUZ	7.431	6.914	93,04%	1.959	1.750	89,33%	1.541	88,06%	115	255	221,74%	246	96,47%
2019_1	ITAREMA	14.341	11.301	78,80%	4.076	2.697	66,17%	2.697	100%	213	297	139,44%	251	84,51%
2019_1	JIJOCA DE JERICOACOARA	4.152	3.885	93,57%	1.172	1.013	86,43%	1.013	100%	53	88	166,04%	25	28,41%
2019_1	MARCO	8.982	8.212	91,43%	2.513	2.134	84,92%	2.130	99,81%	144	241	167,36%	217	90,04%
2019_1	MORRINHOS	5.544	5.067	91,40%	1.684	1.515	89,96%	1.515	100%	63	137	217,46%	79	57,66%
2019_1	CARNAUBAL	4.164	3.899	93,64%	1.127	1.001	88,82%	1.001	100%	50	139	278%	137	98,56%
2019_1	CROATÁ	5.796	5.362	92,51%	1.384	1.216	87,86%	1.215	99,92%	56	35	62,50%	32	91,43%
2019_1	GUARACIABA DO NORTE	13.502	13.407	99,30%	3.516	3.483	99,06%	3.483	100%	190	396	208,42%	280	70,71%
2019_1	IBIAPINA	6.659	5.883	88,35%	1.836	1.467	79,90%	1.465	99,86%	91	154	169,23%	66	42,86%
2019_1	SÃO BENEDITO	11.759	7.968	67,76%	3.511	1.975	56,25%	1.704	86,28%	187	219	117,11%	197	89,95%
2019_1	TIANGUÁ	21.736	15.756	72,49%	6.268	3.904	62,28%	3.903	99,97%	397	479	120,65%	410	85,59%
2019_1	UBAJARA	8.613	7.269	84,40%	2.521	1.842	73,07%	1.842	100%	140	301	215%	157	52,16%
2019_1	VIÇOSA DO CEARÁ	19.415	17.840	91,89%	5.437	4.851	89,22%	4.849	99,96%	288	608	211,11%	566	93,09%
2019_1	ARARENDÁ	2.920	1.930	66,10%	787	364	46,25%	364	100%	33	63	190,91%	52	82,54%
2019_1	CRATEÚS	13.834	13.649	98,66%	3.898	3.812	97,79%	2.814	73,82%	183	346	189,07%	246	71,10%
2019_1	INDEPENDÊNCIA	7.978	7.284	91,30%	1.812	1.483	81,84%	1.483	100%	79	222	281,01%	142	63,96%
2019_1	IPAPORANGA	3.388	3.292	97,17%	816	760	93,14%	592	77,89%	38	87	228,95%	74	85,06%
2019_1	IPUEIRAS	9.213	6.840	74,24%	2.472	1.371	55,46%	1.371	100%	107	214	200%	165	77,10%
2019_1	MONSENHOR TABOSA	5.643	4.837	85,72%	1.509	1.187	78,66%	1.180	99,41%	74	68	91,89%	47	69,12%
2019_1	NOVA RUSSAS	6.746	5.728	84,91%	1.620	1.113	68,70%	1.082	97,21%	71	130	183,10%	107	82,31%
2019_1	NOVO ORIENTE	9.356	8.394	89,72%	2.200	1.788	81,27%	1.787	99,94%	113	200	176,99%	152	76%
2019_1	PORANGA	3.421	2.752	80,44%	922	655	71,04%	655	100%	49	76	155,10%	69	90,79%
2019_1	QUITERIANOPÓLES	5.660	5.146	90,92%	1.361	1.090	80,09%	1.090	100%	54	133	246,30%	83	62,41%
2019_1	TAMBORIL	7.627	6.313	82,77%	1.784	1.246	69,84%	1.246	100%	86	199	231,40%	135	67,84%
2019_1	BARROQUINHA	5.170	4.635	89,65%	1.257	1.054	83,85%	1.053	99,91%	75	70	93,33%	54	77,14%
2019_1	CAMOCIM	14.697	11.600	78,93%	3.756	2.649	70,53%	2.645	99,85%	197	179	90,86%	153	85,47%
2019_1	CHAVAL	4.266	3.892	91,23%	1.120	943	84,20%	943	100%	51	111	217,65%	98	88,29%
2019_1	GRANJA	15.981	14.688	91,91%	4.011	3.453	86,09%	3.452	99,97%	192	307	159,90%	231	75,24%
2019_1	MARTINÓPOLE	3.566	3.017	84,60%	905	640	70,72%	640	100%	43	80	186,05%	59	73,75%
2019_1	ARACATI	13.545	12.345	91,14%	3.245	2.148	66,19%	2.135	99,39%	164	194	118,29%	104	53,61%
2019_1	FORTIM	4.130	3.807	92,18%	934	791	84,69%	791	100%	42	90	214,29%	63	70%
2019_1	ICAPUÍ	5.598	4.859	86,80%	1.415	1.100	77,74%	1.098	99,82%	65	129	198,46%	59	45,74%
2019_1	ITAIÇABA	1.791	1.635	91,29%	419	330	78,76%	330	100%	21	34	161,90%	7	20,59%
2019_1	JAGUARETAMA	5.247	4.902	93,42%	1.317	1.304	99,01%	913	70,02%	50	139	278%	86	61,87%
2019_1	JAGUARUANA	9.867	8.596	87,12%	2.395	1.782	74,41%	1.781	99,94%	123	224	182,11%	135	60,27%
2019_1	MORADA NOVA	17.649	15.756	89,27%	3.917	3.185	81,31%	3.121	97,99%	195	319	163,59%	253	79,31%
2019_1	PALHANO	2.375	2.220	93,47%	574	503	87,63%	503	100%	29	42	144,83%	15	35,71%
2019_1	RUSSAS	13.167	12.453	94,58%	3.334	3.004	90,10%	2.230	74,23%	136	253	186,03%	174	68,77%
2019_1	ALTO SANTO	3.679	3.358	91,27%	909	755	83,06%	755	100%	44	78	177,27%	49	62,82%
2019_1	ERERÊ	1.558	1.350	86,65%	407	332	81,57%	328	98,80%	3	14	466,67%	13	92,86%
2019_1	IRACEMA	3.512	3.320	94,53%	908	808	88,99%	807	99,88%	42	61	145,24%	49	80,33%
2019_1	JAGUARIBARA	2.915	2.730	93,65%	756	664	87,83%	664	100%	36	71	197,22%	55	77,46%
2019_1	JAGUARIBE	7.661	7.009	91,49%	1.888	1.561	82,68%	1.561	100%	78	166	212,82%	145	87,35%
2019_1	LIMOEIRO DO NORTE	12.574	10.892	86,62%	3.003	2.379	79,22%	2.377	99,92%	147	272	185,03%	205	75,37%
2019_1	PEREIRO	4.702	4.438	94,39%	1.165	1.023	87,81%	1.023	100%	54	113	209,26%	87	76,99%
2019_1	POTIRETAMA	1.570	1.271	80,96%	429	311	72,49%	311	100%	19	45	236,84%	19	42,22%
2019_1	QUIXERÉ	3.926	3.473	88,46%	1.089	841	77,23%	719	85,49%	49	111	226,53%	70	63,06%
2019_1	SÃO JOÃO DO JAGUARIBE	1.352	1.177	87,06%	289	216	74,74%	216	100%	14	14	100%	12	85,71%
2019_1	TABULEIRO DO NORTE	7.275	6.727	92,47%	1.656	1.399	84,48%	856	61,19%	77	175	227,27%	106	60,57%
2019_1	BAIXIO	1.679	1.496	89,10%	411	330	80,29%	327	99,09%	14	51	364,29%	28	54,90%
2019_1	CEDRO	6.044	4.350	71,97%	1.467	730	49,76%	730	100%	72	144	200%	91	63,19%
2019_1	ICÓ	19.767	17.428	88,17%	4.950	3.917	79,13%	2.996	76,49%	239	451	188,70%	299	66,30%
2019_1	IPAUMIRIM	3.885	3.444	88,65%	979	775	79,16%	775	100%	41	100	243,90%	85	85%
2019_1	LAVRAS DA MANGABEIRA	7.493	6.965	92,95%	2.038	1.868	91,66%	1.868	100%	97	133	137,11%	127	95,49%
2019_1	ORÓS	7.877	7.867	99,87%	1.767	1.761	99,66%	1.761	100%	102	178	174,51%	149	83,71%
2019_1	UMARI	2.188	1.989	90,90%	530	441	83,21%	432	97,96%	19	69	363,16%	52	75,36%
2019_1	ACOPIARA	14.347	12.659	88,23%	3.348	2.664	79,57%	2.634	98,87%	153	240	156,86%	180	75%
2019_1	CARIÚS	4.692	4.430	94,42%	1.085	1.002	92,35%	1.001	99,90%	47	102	217,02%	90	88,24%
2019_1	CATARINA	2.495	1.696	67,98%	693	326	47,04%	326	100%	16	72	450%	65	90,28%
2019_1	DEPUTADO IRAPUAN PINHEIRO	2.447	2.336	95,46%	510	470	92,16%	469	99,79%	21	30	142,86%	17	56,67%
2019_1	IGUATU	20.582	19.961	96,98%	4.915	4.662	94,85%	4.660	99,96%	210	269	128,10%	204	75,84%
2019_1	JUCÁS	7.384	6.956	94,20%	1.830	1.633	89,23%	1.633	100%	87	135	155,17%	65	48,15%
2019_1	MOMBAÇA	10.799	10.404	96,34%	2.498	2.343	93,80%	2.343	100%	112	298	266,07%	261	87,58%
2019_1	PIQUET CARNEIRO	3.871	3.803	98,24%	851	823	96,71%	823	100%	35	85	242,86%	67	78,82%
2019_1	QUIXELÔ	4.201	3.929	93,53%	978	849	86,81%	835	98,35%	45	70	155,56%	52	74,29%
2019_1	SABOEIRO	3.500	2.534	72,40%	994	620	62,37%	620	100%	49	72	146,94%	51	70,83%
2019_1	ABAIARA	3.062	2.657	86,77%	828	608	73,43%	605	99,51%	31	99	319,35%	61	61,62%
2019_1	AURORA	6.835	6.443	94,26%	1.603	1.422	88,71%	1.419	99,79%	79	170	215,19%	145	85,29%
2019_1	BARRO	5.411	4.493	83,03%	1.312	909	69,28%	909	100%	50	94	188%	61	64,89%
2019_1	BREJO SANTO	12.457	12.448	99,93%	3.043	3.039	99,87%	1.861	61,24%	150	212	141,33%	102	48,11%
2019_1	JATI	1.966	1.700	86,47%	560	445	79,46%	443	99,55%	34	18	52,94%	15	83,33%
2019_1	MAURITI	13.156	11.407	86,71%	3.754	2.994	79,75%	2.989	99,83%	195	328	168,21%	201	61,28%
2019_1	MILAGRES	8.747	7.673	87,72%	2.117	1.653	78,08%	1.422	86,03%	107	193	180,37%	118	61,14%
2019_1	PENAFORTE	3.172	2.238	70,55%	972	540	55,56%	540	100%	65	111	170,77%	83	74,77%
2019_1	PORTEIRAS	4.627	4.593	99,27%	1.161	1.149	98,97%	1.021	88,86%	68	104	152,94%	56	53,85%
2019_1	ALTANEIRA	2.503	2.061	82,34%	701	465	66,33%	465	100%	35	51	145,71%	34	66,67%
2019_1	ANTONINA DO NORTE	2.633	2.127	80,78%	652	419	64,26%	408	97,37%	28	44	157,14%	34	77,27%
2019_1	ARARIPE	6.430	6.093	94,76%	1.698	1.531	90,16%	1.531	100%	94	144	153,19%	122	84,72%
2019_1	ASSARÉ	7.574	7.145	94,34%	1.814	1.605	88,48%	1.596	99,44%	81	146	180,25%	114	78,08%
2019_1	CAMPOS SALES	7.492	7.001	93,45%	1.791	1.549	86,49%	1.548	99,94%	92	118	128,26%	102	86,44%
2019_1	CRATO	26.585	19.542	73,51%	7.642	4.694	61,42%	4.692	99,96%	397	507	127,71%	329	64,89%
2019_1	FARIAS BRITO	5.422	5.199	95,89%	1.299	1.194	91,92%	1.194	100%	57	146	256,14%	121	82,88%
2019_1	NOVA OLINDA	5.195	4.412	84,93%	1.521	1.171	76,99%	1.170	99,91%	81	142	175,31%	112	78,87%
2019_1	POTENGI	2.336	1.925	82,41%	594	389	65,49%	389	100%	26	63	242,31%	41	65,08%
2019_1	SALITRE	5.693	5.432	95,42%	1.522	1.372	90,14%	1.371	99,93%	79	111	140,51%	75	67,57%
2019_1	SANTANA DO CARIRI	5.665	5.225	92,23%	1.464	1.246	85,11%	1.243	99,76%	69	174	252,17%	148	85,06%
2019_1	TARRAFAS	2.429	2.192	90,24%	585	484	82,74%	484	100%	25	40	160%	25	62,50%
2019_1	VÁRZEA ALEGRE	11.102	10.773	97,04%	2.590	2.499	96,49%	2.498	99,96%	128	227	177,34%	209	92,07%
2019_1	BARBALHA	13.540	11.585	85,56%	3.812	3.025	79,35%	3.021	99,87%	227	310	136,56%	262	84,52%
2019_1	CARIRIAÇU	9.237	8.285	89,69%	2.444	1.936	79,21%	1.909	98,61%	119	249	209,24%	209	83,94%
2019_1	GRANJEIRO	1.603	1.217	75,92%	440	245	55,68%	245	100%	21	54	257,14%	36	66,67%
2019_1	JARDIM	8.753	7.984	91,21%	2.258	1.939	85,87%	1.927	99,38%	134	173	129,10%	147	84,97%
2019_1	JUAZEIRO DO NORTE	39.535	36.888	93,30%	13.052	12.354	94,65%	5.010	40,55%	590	712	120,68%	697	97,89%
2019_1	MISSÃO VELHA	11.338	9.787	86,32%	3.018	2.319	76,84%	2.317	99,91%	167	249	149,10%	176	70,68%
2019_2	AQUIRAZ	20.619	18.476	89,61%	5.484	4.400	80,23%	4.399	99,98%	258	325	125,97%	241	74,15%
2019_2	EUSÉBIO	10.626	10.231	96,28%	2.832	2.672	94,35%	1.113	41,65%	208	147	70,67%	118	80,27%
2019_2	FORTALEZA	347.692	246.227	70,82%	103.723	58.812	56,70%	58.785	99,95%	4.465	7.511	168,22%	6.200	82,55%
2019_2	ITAITINGA	6.832	6.195	90,68%	1.971	1.703	86,40%	1.440	84,56%	102	103	100,98%	69	66,99%
2019_2	APUIARÉS	4.214	3.622	85,95%	1.017	775	76,20%	775	100%	36	104	288,89%	52	50%
2019_2	CAUCAIA	54.604	32.768	60,01%	16.682	7.691	46,10%	7.664	99,65%	721	973	134,95%	714	73,38%
2019_2	GENERAL SAMPAIO	2.667	2.416	90,59%	702	594	84,62%	594	100%	32	75	234,38%	68	90,67%
2019_2	ITAPAGÉ	10.279	9.093	88,46%	2.973	2.237	75,24%	2.237	100%	136	192	141,18%	120	62,50%
2019_2	PARACURU	10.007	8.554	85,48%	2.606	2.056	78,89%	1.966	95,62%	164	208	126,83%	134	64,42%
2019_2	PARAIPABA	9.060	8.171	90,19%	2.348	1.970	83,90%	1.966	99,80%	105	181	172,38%	66	36,46%
2019_2	PENTECOSTE	9.102	8.757	96,21%	2.271	1.956	86,13%	1.954	99,90%	91	197	216,48%	155	78,68%
2019_2	SÃO GONÇALO DO AMARANTE	12.840	12.599	98,12%	3.352	3.250	96,96%	3.222	99,14%	218	190	87,16%	178	93,68%
2019_2	SÃO LUÍS DO CURU	3.612	3.079	85,24%	917	668	72,85%	668	100%	46	22	47,83%	16	72,73%
2019_2	TEJUÇUOCA	6.122	3.550	57,99%	1.873	409	21,84%	409	100%	89	168	188,76%	129	76,79%
2019_2	ACARAPE	4.053	3.853	95,07%	1.091	1.007	92,30%	1.006	99,90%	49	85	173,47%	66	77,65%
2019_2	BARREIRA	7.116	6.501	91,36%	1.852	1.567	84,61%	1.567	100%	89	184	206,74%	132	71,74%
2019_2	GUAIUBA	7.003	6.088	86,93%	1.860	1.408	75,70%	1.354	96,16%	84	127	151,19%	85	66,93%
2019_2	MARACANAÚ	34.710	25.844	74,46%	10.049	5.917	58,88%	5.917	100%	583	478	81,99%	316	66,11%
2019_2	MARANGUAPE	25.862	21.158	81,81%	6.765	4.198	62,05%	4.126	98,28%	286	538	188,11%	423	78,62%
2019_2	PACATUBA	13.268	11.887	89,59%	3.696	3.065	82,93%	3.065	100%	125	226	180,80%	176	77,88%
2019_2	PALMÁCIA	3.363	3.303	98,22%	819	787	96,09%	787	100%	25	69	276%	52	75,36%
2019_2	REDENÇÃO	7.324	7.038	96,10%	1.881	1.706	90,70%	1.689	99%	93	164	176,34%	117	71,34%
2019_2	ARACOIABA	8.313	7.226	86,92%	2.146	1.641	76,47%	1.641	100%	118	193	163,56%	139	72,02%
2019_2	ARATUBA	4.002	3.728	93,15%	1.031	875	84,87%	875	100%	49	65	132,65%	56	86,15%
2019_2	BATURITÉ	10.639	9.070	85,25%	2.769	2.052	74,11%	1.885	91,86%	132	256	193,94%	111	43,36%
2019_2	CAPISTRANO	5.557	5.251	94,49%	1.431	1.278	89,31%	1.278	100%	67	147	219,40%	107	72,79%
2019_2	GUARAMIRANGA	1.563	1.562	99,94%	375	375	100%	375	100%	26	32	123,08%	23	71,88%
2019_2	ITAPIUNA	5.979	5.241	87,66%	1.500	1.202	80,13%	1.202	100%	63	80	126,98%	74	92,50%
2019_2	MULUNGU	3.426	3.081	89,93%	909	732	80,53%	732	100%	34	51	150%	42	82,35%
2019_2	PACOTI	3.341	3.134	93,80%	898	789	87,86%	789	100%	40	79	197,50%	53	67,09%
2019_2	AMONTADA	13.828	13.573	98,16%	3.860	3.757	97,33%	3.424	91,14%	205	261	127,32%	241	92,34%
2019_2	ITAPIPOCA	36.102	34.887	96,63%	10.244	9.710	94,79%	9.709	99,99%	531	888	167,23%	677	76,24%
2019_2	MIRAÍMA	3.906	3.460	88,58%	1.072	864	80,60%	864	100%	48	132	275%	127	96,21%
2019_2	TRAIRI	20.835	15.633	75,03%	5.900	3.790	64,24%	3.790	100%	290	511	176,21%	425	83,17%
2019_2	TURURU	5.685	5.104	89,78%	1.505	1.238	82,26%	1.238	100%	100	102	102%	81	79,41%
